"iteration","model","problem","condition","response","timestamp"
1,"deepseek","problem_1_risk_attitudes","condition_1_gain","A","5/17/26 18:11"
2,"deepseek","problem_2_calculator_jacket","condition_1_cheap_calculator","A","5/17/26 18:11"
3,"deepseek","problem_3_theater_ticket","condition_2_lost_ticket","B","5/17/26 18:11"
4,"deepseek","problem_18_basketball_sunk_cost","condition_1_paid_ticket","A","5/17/26 18:11"
5,"deepseek","tent_project_wastefulness","no_waste","B","5/17/26 18:11"
6,"deepseek","problem_1_risk_attitudes","condition_1_gain","A","5/17/26 18:11"
7,"deepseek","problem_2_calculator_jacket","condition_1_cheap_calculator","B","5/17/26 18:11"
8,"deepseek","problem_3_theater_ticket","condition_1_lost_bill","B","5/17/26 18:11"
9,"deepseek","problem_18_basketball_sunk_cost","condition_2_free_ticket","B","5/17/26 18:11"
10,"deepseek","tent_project_wastefulness","no_waste","B","5/17/26 18:11"
11,"deepseek","problem_1_risk_attitudes","condition_1_gain","A","5/17/26 18:11"
12,"deepseek","problem_2_calculator_jacket","condition_1_cheap_calculator","B","5/17/26 18:11"
13,"deepseek","problem_3_theater_ticket","condition_1_lost_bill","A","5/17/26 18:11"
14,"deepseek","problem_18_basketball_sunk_cost","condition_1_paid_ticket","B","5/17/26 18:11"
15,"deepseek","tent_project_wastefulness","no_waste","B","5/17/26 18:11"
16,"deepseek","problem_1_risk_attitudes","condition_1_gain","B","5/17/26 18:11"
17,"deepseek","problem_2_calculator_jacket","condition_2_expensive_calculator","B","5/17/26 18:11"
18,"deepseek","problem_3_theater_ticket","condition_1_lost_bill","A","5/17/26 18:11"
19,"deepseek","problem_18_basketball_sunk_cost","condition_2_free_ticket","B","5/17/26 18:11"
20,"deepseek","tent_project_wastefulness","waste","B","5/17/26 18:11"
21,"deepseek","problem_1_risk_attitudes","condition_1_gain","A","5/17/26 18:11"
22,"deepseek","problem_2_calculator_jacket","condition_1_cheap_calculator","B","5/17/26 18:11"
23,"deepseek","problem_3_theater_ticket","condition_2_lost_ticket","B","5/17/26 18:11"
24,"deepseek","problem_18_basketball_sunk_cost","condition_2_free_ticket","B","5/17/26 18:11"
25,"deepseek","tent_project_wastefulness","waste","B","5/17/26 18:11"
26,"deepseek","problem_1_risk_attitudes","condition_1_gain","A","5/17/26 18:11"
27,"deepseek","problem_2_calculator_jacket","condition_1_cheap_calculator","B","5/17/26 18:11"
28,"deepseek","problem_3_theater_ticket","condition_2_lost_ticket","B","5/17/26 18:11"
29,"deepseek","problem_18_basketball_sunk_cost","condition_1_paid_ticket","B","5/17/26 18:11"
30,"deepseek","tent_project_wastefulness","no_waste","B","5/17/26 18:11"
31,"deepseek","problem_1_risk_attitudes","condition_2_loss","B","5/17/26 18:11"
32,"deepseek","problem_2_calculator_jacket","condition_1_cheap_calculator","B","5/17/26 18:11"
33,"deepseek","problem_3_theater_ticket","condition_2_lost_ticket","B","5/17/26 18:11"
34,"deepseek","problem_18_basketball_sunk_cost","condition_2_free_ticket","B","5/17/26 18:11"
35,"deepseek","tent_project_wastefulness","waste","B","5/17/26 18:11"
36,"deepseek","problem_1_risk_attitudes","condition_1_gain","B","5/17/26 18:11"
37,"deepseek","problem_2_calculator_jacket","condition_2_expensive_calculator","B","5/17/26 18:11"
38,"deepseek","problem_3_theater_ticket","condition_1_lost_bill","A","5/17/26 18:11"
39,"deepseek","problem_18_basketball_sunk_cost","condition_2_free_ticket","B","5/17/26 18:11"
40,"deepseek","tent_project_wastefulness","no_waste","B","5/17/26 18:11"
