iteration,model,problem,condition,response,timestamp
1,claude-opus-4.6,problem_1_risk_attitudes,condition_1_gain,A,5/17/26 16:25
2,claude-opus-4.6,problem_2_calculator_jacket,condition_1_cheap_calculator,A,5/17/26 16:25
3,claude-opus-4.6,problem_3_theater_ticket,condition_2_lost_ticket,A,5/17/26 16:25
4,claude-opus-4.6,problem_18_basketball_sunk_cost,condition_1_paid_ticket,B,5/17/26 16:25
5,claude-opus-4.6,tent_project_wastefulness,no_waste,B,5/17/26 16:25
6,claude-opus-4.6,problem_1_risk_attitudes,condition_1_gain,A,5/17/26 16:25
7,claude-opus-4.6,problem_2_calculator_jacket,condition_1_cheap_calculator,A,5/17/26 16:25
8,claude-opus-4.6,problem_3_theater_ticket,condition_1_lost_bill,A,5/17/26 16:25
9,claude-opus-4.6,problem_18_basketball_sunk_cost,condition_2_free_ticket,B,5/17/26 16:25
10,claude-opus-4.6,tent_project_wastefulness,no_waste,B,5/17/26 16:25
11,claude-opus-4.6,problem_1_risk_attitudes,condition_1_gain,A,5/17/26 16:25
12,claude-opus-4.6,problem_2_calculator_jacket,condition_1_cheap_calculator,A,5/17/26 16:25
13,claude-opus-4.6,problem_3_theater_ticket,condition_1_lost_bill,A,5/17/26 16:25
14,claude-opus-4.6,problem_18_basketball_sunk_cost,condition_1_paid_ticket,B,5/17/26 16:25
15,claude-opus-4.6,tent_project_wastefulness,no_waste,B,5/17/26 16:25
16,claude-opus-4.6,problem_1_risk_attitudes,condition_1_gain,A,5/17/26 16:25
17,claude-opus-4.6,problem_2_calculator_jacket,condition_2_expensive_calculator,B,5/17/26 16:25
18,claude-opus-4.6,problem_3_theater_ticket,condition_1_lost_bill,A,5/17/26 16:25
19,claude-opus-4.6,problem_18_basketball_sunk_cost,condition_2_free_ticket,B,5/17/26 16:25
20,claude-opus-4.6,tent_project_wastefulness,waste,B,5/17/26 16:25
21,claude-opus-4.6,problem_1_risk_attitudes,condition_1_gain,A,5/17/26 16:25
22,claude-opus-4.6,problem_2_calculator_jacket,condition_1_cheap_calculator,A,5/17/26 16:25
23,claude-opus-4.6,problem_3_theater_ticket,condition_2_lost_ticket,A,5/17/26 16:25
24,claude-opus-4.6,problem_18_basketball_sunk_cost,condition_2_free_ticket,B,5/17/26 16:25
25,claude-opus-4.6,tent_project_wastefulness,waste,B,5/17/26 16:27
26,claude-opus-4.6,problem_1_risk_attitudes,condition_1_gain,A,5/17/26 16:27
27,claude-opus-4.6,problem_2_calculator_jacket,condition_1_cheap_calculator,A,5/17/26 16:27
28,claude-opus-4.6,problem_3_theater_ticket,condition_2_lost_ticket,A,5/17/26 16:27
29,claude-opus-4.6,problem_18_basketball_sunk_cost,condition_1_paid_ticket,B,5/17/26 16:27
30,claude-opus-4.6,tent_project_wastefulness,no_waste,B,5/17/26 16:27
31,claude-opus-4.6,problem_1_risk_attitudes,condition_2_loss,B,5/17/26 16:27
32,claude-opus-4.6,problem_2_calculator_jacket,condition_1_cheap_calculator,A,5/17/26 16:27
33,claude-opus-4.6,problem_3_theater_ticket,condition_2_lost_ticket,A,5/17/26 16:27
34,claude-opus-4.6,problem_18_basketball_sunk_cost,condition_2_free_ticket,B,5/17/26 16:27
35,claude-opus-4.6,tent_project_wastefulness,waste,B,5/17/26 16:27
36,claude-opus-4.6,problem_1_risk_attitudes,condition_1_gain,A,5/17/26 16:27
37,claude-opus-4.6,problem_2_calculator_jacket,condition_2_expensive_calculator,B,5/17/26 16:27
38,claude-opus-4.6,problem_3_theater_ticket,condition_1_lost_bill,A,5/17/26 16:27
39,claude-opus-4.6,problem_18_basketball_sunk_cost,condition_2_free_ticket,B,5/17/26 16:27
40,claude-opus-4.6,tent_project_wastefulness,no_waste,B,5/17/26 16:27
41,claude-opus-4.6,problem_1_risk_attitudes,condition_2_loss,B,5/17/26 16:27
42,claude-opus-4.6,problem_2_calculator_jacket,condition_2_expensive_calculator,B,5/17/26 16:27
43,claude-opus-4.6,problem_3_theater_ticket,condition_1_lost_bill,A,5/17/26 16:27
44,claude-opus-4.6,problem_18_basketball_sunk_cost,condition_1_paid_ticket,B,5/17/26 16:27
45,claude-opus-4.6,tent_project_wastefulness,no_waste,B,5/17/26 16:27
46,claude-opus-4.6,problem_1_risk_attitudes,condition_1_gain,A,5/17/26 16:27
47,claude-opus-4.6,problem_2_calculator_jacket,condition_2_expensive_calculator,B,5/17/26 16:27
48,claude-opus-4.6,problem_3_theater_ticket,condition_1_lost_bill,A,5/17/26 16:27
49,claude-opus-4.6,problem_18_basketball_sunk_cost,condition_1_paid_ticket,B,5/17/26 16:27
50,claude-opus-4.6,tent_project_wastefulness,no_waste,B,5/17/26 16:27
51,claude-opus-4.6,problem_1_risk_attitudes,condition_2_loss,B,5/17/26 16:27
52,claude-opus-4.6,problem_2_calculator_jacket,condition_2_expensive_calculator,B,5/17/26 16:27
53,claude-opus-4.6,problem_3_theater_ticket,condition_2_lost_ticket,A,5/17/26 16:27
54,claude-opus-4.6,problem_18_basketball_sunk_cost,condition_2_free_ticket,B,5/17/26 16:27
55,claude-opus-4.6,tent_project_wastefulness,no_waste,B,5/17/26 16:27
56,claude-opus-4.6,problem_1_risk_attitudes,condition_2_loss,B,5/17/26 16:27
57,claude-opus-4.6,problem_2_calculator_jacket,condition_2_expensive_calculator,B,5/17/26 16:27
